region_administrative,departement,identifiant_museofile,commune,nom_officiel_du_musee,adresse,lieu,code_postal,telephone,url,latitude,longitude,ref_deps,geolocalisation,date_arrete_attribution_appellation
Île-de-France,Paris,M5044,Paris,musée Rodin,77 rue de Varenne,Hôtel Biron,75007,144186110,www.musee-rodin.fr/,48.855868,2.31598,7510703,"48.855868,2.31598",2002-01-06
Île-de-France,Seine-et-Marne,M0373,Coupvray,maison natale de Louis Braille,"13, rue Louis Braille",,77400,160048280,museelouisbraille.com/,48.867372,2.712931,7713201,"48.867372,2.712931",2003-02-01
Île-de-France,Seine-et-Marne,M0374,Crécy-la-Chapelle,musée municipal,s'adresser à la mairie,,77580,,,48.85813263142596,2.908441509296712,7714201,"48.85813263142596,2.908441509296712",2003-02-01
Île-de-France,Seine-et-Marne,M0379,Melun,musée de Melun,5 rue du Franc Mûrier,,77000,164797770,www.ville-melun.fr/temps-libre/musee-d-art-et-d-histoire-de-la-ville-de-melun/232-presentation-du-musee,48.536398,2.658972,7728802,"48.536398,2.658972",2003-02-01
Île-de-France,Seine-et-Marne,M0384,Saint-Cyr-sur-Morin,musée des pays de Seine-et-Marne,"17, avenue de la Ferté-sous-Jouarre",,77750,160244600,www.musee-seine-et-marne.fr/fr,48.90803,3.18169,7740501,"48.90803,3.18169",2003-02-01
Île-de-France,Seine-Saint-Denis,M5024,Le Bourget,musée de l'air et de l'espace,BP 173,aéroport de Paris - Le Bourget,93352,149927000,www.museeairespace.fr/,48.94681950649236,2.4355624358692265,9301301,"48.94681950649236,2.4355624358692265",2002-01-06
Île-de-France,Seine-Saint-Denis,M0422,Saint-Denis,musée d'art et d'histoire Paul Eluard,"22 bis, rue Gabriel Peri",,93200,142430510,musee-saint-denis.com/,48.932336,2.355796,9306601,"48.932336,2.355796",2003-02-01
Île-de-France,Yvelines,M0388,Jouy-en-Josas,musée de la toile de Jouy,"54, rue Charles de Gaulle",Château de l'Eglantine,78350,139564864,www.museedelatoiledejouy.fr/,48.768986,2.153216,7832201,"48.768986,2.153216",2003-02-01
Île-de-France,Yvelines,M0391,Maule,musée Victor Aubert,,"24, rue Quincampoix",78580,130906149,museeaubertmaule.free.fr/,48.908246,1.847178,7838001,"48.908246,1.847178",2003-02-01
Île-de-France,Yvelines,M0395,Rambouillet,musée Rambolitrain,"4, place Jeanne d'Arc","4, place Jeanne d'Arc",78120,175034460,www.rambolitrain.com/,48.646025,1.823892,7851702,"48.646025,1.823892",2003-02-01
Île-de-France,Yvelines,M0396,Saint-Germain-en-Laye,musée départemental Maurice Denis,"2bis, rue Maurice Denis",,78100,139078787,www.musee-mauricedenis.fr/,48.892495,2.087541,7855101,"48.892495,2.087541",2003-02-01
Île-de-France,Yvelines,M0399,Saint-Rémy-lès-Chevreuse,collections de la fondation de Coubertin,Conservation des collections,Domaine de Coubertin,78470,130856989,/www.coubertin.fr/,48.706544,2.069096,7857501,"48.706544,2.069096",2003-02-01
Île-de-France,Hauts-de-Seine,M0411,Issy-les-Moulineaux,musée français de la carte à jouer et galerie d'histoire de la ville,"16, rue Auguste Gervais",,92130,141238360,www.museecarteajouer.com/,48.822771,2.273453,9204001,"48.822771,2.273453",2003-02-01
Île-de-France,Hauts-de-Seine,M0413,Neuilly-sur-Seine,musée des automates,12 rue du centre,,92200,147452940,www.neuillysurseine.fr/details-d-un-acteur?id=240,48.879608,2.252754,9205101,"48.879608,2.252754",2003-02-01
Île-de-France,Hauts-de-Seine,M5019,Sèvres,musée national de la céramique,Place de la Manufacture,,92310,146293801,,48.817037,2.205733,9207201,"48.817037,2.205733",2002-01-06
Île-de-France,Paris,M1114,Paris,maison de Victor Hugo,6 place des Vosges,Hôtel de Rohan-Guéménée,75004,142721016,www.maisonsvictorhugo.paris.fr/,48.854808,2.366232,7510405,"48.854808,2.366232",2004-07-08
Île-de-France,Paris,M1104,Paris,musée Carnavalet - histoire de Paris,"23, rue de Sévigné",Hôtel Carnavalet,75003,144595858,www.carnavalet.paris.fr/,48.85699,2.362856,7510307,"48.85699,2.362856",2004-07-08
Île-de-France,Paris,M1204,Paris,musée Yves Saint Laurent Paris,5 avenue Marceau,,75116,,museeyslparis.com/,48.873694,2.280339,7511619,"48.873694,2.280339",2017-07-10
Île-de-France,Paris,M1111,Paris,"Petit Palais, musée des beaux-arts de la ville de Paris",Avenue Winston-Churchill,Musée,75008,153434000,www.petitpalais.paris.fr/,48.86609,2.313763,7510808,"48.86609,2.313763",2004-07-08
Île-de-France,Paris,M5005,Paris,musée des arts asiatiques Guimet,"6, place d'Iéna",,75116,156525300,www.museeguimet.fr,48.86425,2.293754,7511603,"48.86425,2.293754",2002-01-06
Île-de-France,Paris,M5059,Paris,musée national de la Légion d'honneur et des ordres de chevalerie,"2, rue de la Légion d'honneur",,75007,140628425,www.legiondhonneur.fr/fr,48.860294,2.324768,7510706,"48.860294,2.324768",2002-01-06
Île-de-France,Seine-et-Marne,M0370,Barbizon,musée de l'école de Barbizon - auberge Ganne,"92, Grande Rue",Auberge Ganne,77630,160662227,www.musee-peintres-barbizon.fr/fr,48.446181,2.602464,7702201,"48.446181,2.602464",2003-02-01
Île-de-France,Seine-et-Marne,M0371,Chelles,musée Alfred Bonno,Place de la République,,77500,164726580,www.chelles.fr/chelles-a-vivre/culture/musee-alfred-bonno/,48.87766,2.591845,7710801,"48.87766,2.591845",2003-02-01
Île-de-France,Seine-et-Marne,M5013,Fontainebleau,musée national du château de Fontainebleau,Château de Fontainebleau - Place du général de Gaulle,Château de Fontainebleau,77300,160715070,www.chateaudefontainebleau.fr/,48.402815,2.696858,7718601,"48.402815,2.696858",2002-01-06
Île-de-France,Seine-et-Marne,M0378,Meaux,musée Bossuet,"5, place Charles-de-Gaulle",Palais Episcopal,77100,164348445,www.musee-bossuet.fr/,48.938016,2.87061,7728401,"48.938016,2.87061",2003-02-01
Île-de-France,Seine-et-Marne,M1171,Meaux,musée de la Grande Guerre,Rue Lazare Ponticelli,,77100,160321418,www.museedelagrandeguerre.eu/,48.955281,2.901461,7728402,"48.955281,2.901461",2007-03-26
Île-de-France,Seine-et-Marne,M0380,Moret-sur-Loing,musée municipal,place de Samois,,77250,160703230,,48.373638,2.815046,7731601,"48.373638,2.815046",2003-02-01
Île-de-France,Seine-et-Marne,M0382,Nemours,musée de préhistoire d'Île-de-France,48 avenue Etienne Dailly,,77140,164785480,www.musee-prehistoire-idf.fr/fr,48.260312,2.714321,7733301,"48.260312,2.714321",2003-02-01
Île-de-France,Val d'Oise,M0432,Argenteuil,musée du vieil Argenteuil,12-14 Boulevard Léon Feix,Hôtel de Ville,95100,134234211,,48.946909,2.249331,9501801,"48.946909,2.249331",2003-02-01
Île-de-France,Val d'Oise,M0434,Guiry-en-Vexin,musée archéologique départemental du Val d'Oise,4 place du Château,,95450,134674507,www.valdoise.fr/608-le-musee-archeologique-departemental-du-val-d-oise.htm,49.108589,1.849395,9529501,"49.108589,1.849395",2003-02-01
Île-de-France,Val d'Oise,M0435,L'Isle-Adam,musée d'art et d'histoire Louis Senlecq,31 Grande rue,,95290,134694544,ville-isle-adam.fr/musee,49.112285,2.21638,9531301,"49.112285,2.21638",2003-02-01
Île-de-France,Val d'Oise,M0437,Montmorency,musée Jean-Jacques Rousseau,"5, rue Jean-Jacques Rousseau","5, rue Jean-Jacques Rousseau",95160,139648013,museejjrousseau.montmorency.fr/fr,48.986892,2.320916,9542801,"48.986892,2.320916",2003-02-01
Île-de-France,Val d'Oise,M0438,Pontoise,musée Tavet Delacour,"4, rue Lemercier",,95300,130380240,www.ville-pontoise.fr/equipement/musee-tavet-delacour#overlay-context=search/node/tavet,49.050929,2.099776,9550001,"49.050929,2.099776",2003-02-01
Île-de-France,Val-de-Marne,M0430,Villiers-sur-Marne,musée Emile Jean,"31, rue Louis-Lenoir",,94350,149304696,www.villiers94.fr/culture-et-sports/patrimoine/musee-emile-jean/,48.826701,2.543144,9407901,"48.826701,2.543144",2003-02-01
Île-de-France,Yvelines,M0392,Montfort-l'Amaury,maison-musée Maurice Ravel,5 rue Maurice-Ravel,Le Belvédère,78490,134860089,www.montfortlamaury.fr/culture-tourisme/sites-et-monuments/la-maison-musee-de-maurice-ravel/,48.776137,1.805464,7842001,"48.776137,1.805464",2003-02-01
Île-de-France,Yvelines,M0397,Saint-Germain-en-Laye,musée municipal Ducastel-Vera de Saint-Germain-en-Laye,38 rue au Pain,,78000,134510512,www.saintgermainenlaye.fr/736/musee-municipal.htm?L=ppapagepapage=,48.794403,2.127681,7855102,"48.794403,2.127681",2003-02-01
Île-de-France,Yvelines,M5077,Versailles,musée national des châteaux de Versailles et de Trianon,,Château de Versailles,78000,130837800,www.chateauversailles.fr/,48.804537,2.134053,7864602,"48.804537,2.134053",2002-01-06
Normandie,Calvados,M0666,Orbec,musée municipal le vieux manoir,107 rue Grande,Le Vieux-Manoir,14290,231325889,lisieux-normandie.fr/culture/musee-dorbec/,49.022096,0.406804,1447801,"49.022096,0.406804",2003-02-01
Normandie,Calvados,M0670,Tilly-sur-Seulles,musée de la bataille de Tilly-sur-Seulles,Chapelle Notre-Dame-du-Val,,14250,231809210,seulles-terre-mer.fr/tourisme/sites_et_musees.html,49.177537,-0.612546,1469201,"49.177537,-0.612546",2003-02-01
Normandie,Calvados,M1077,Vieux,musée et sites archéologiques de Vieux-la-Romaine,13 chemin Haussé,,14930,231711020,www.vieuxlaromaine.fr/accueil.html,49.105412,-0.431321,1474701,"49.105412,-0.431321",2003-02-01
Normandie,Calvados,M7063,Villers-sur-Mer,musée paléontologique,5 avenue Jean Moulin,,14640,231817760,www.paleospace-villers.fr/,49.328057,0.013729,1475401,"49.328057,0.013729",2003-02-01
Normandie,Calvados,M0672,Vire,musée municipal,2 place Sainte-Anne,,14500,231666650,www.virenormandie.fr/sport-culture-et-loisirs/culture-et-loisirs/musee/,48.835996,-0.888245,1476201,"48.835996,-0.888245",2003-02-01
Normandie,Eure,M0703,Evreux,musée de l'ancien évêché,6 rue Charles Corbeau,Ancien évêché,27000,232318190,evreux.fr/sortir/culture/musee-evreux/,49.023998,1.1502,2722901,"49.023998,1.1502",2003-02-01
Normandie,Eure,M0708,Vernon,musée Alphonse-Georges Poulain,12 rue du Pont,Ancien Hôtel Particulier,27200,232212809,www.vernon27.fr/la-ville/culture/musee/,49.094855,1.484927,2768101,"49.094855,1.484927",2003-02-01
Normandie,Manche,M0678,Cherbourg,musée Emmanuel Liais,19 ter rue Bonhomme,Parc Emanuel Liais,50100,233535161,www.cherbourg.fr/infos-services/culture-et-loisirs/musees/museum-emmanuel-liais-320.html?L=114,49.6429,-1.630729,5012901,"49.6429,-1.630729",2003-02-01
Normandie,Manche,M0682,Granville,musée d'Art et d'Histoire de Granville,2 rue Lecarpentier,Logis du Roi,50400,233504410,www.ville-granville.fr/a-voir-a-faire-a-granville/vie-culturelle-et-artistique/musee-dart-et-dhistoire/,48.837248,-1.602814,5021802,"48.837248,-1.602814",2003-02-01
Normandie,Manche,M0691,Valognes,musée régional du cidre et du calvados,Rue du Petit-Versailles,,50700,675898952,www.mairie-valognes.fr/decouvrir-valognes/musee-regional-cidre/,49.505993,-1.470416,5061501,"49.505993,-1.470416",2003-02-01
Normandie,Manche,M0693,Villedieu-les-Poêles,musée de la poêlerie,25 rue du Général Huard,Cour du Foyer,50800,233693344,www.museesvilledieu.sitew.com/,48.840754,-1.221648,5063901,"48.840754,-1.221648",2003-02-01
Normandie,Orne,M0697,La Ferté-Macé,musée municipal - musée du jouet,,32 rue de la Victoire,61200,233370408,lafertemace.fr/musee-municipal/,48.59056896905563,-0.3590626630746374,6116801,"48.59056896905563,-0.3590626630746374",2003-02-01
Normandie,Orne,M0700,Sées,musée départemental d'art sacré,Place du Général de Gaulle,Sées,61500,233812300,www.ville-sees.fr/visiter-sees/le-musee-dart-religieux/,48.605422,0.171614,6146401,"48.605422,0.171614",2003-02-01
Normandie,Seine-Maritime,M0715,Fécamp,"Les Pêcheries, musée de Fécamp",3 quai capitaine Jean Recher,,76400,235283199,www.ville-fecamp.fr/-Musee-.html,49.76179,0.36825,7625901,"49.76179,0.36825",2003-02-01
Normandie,Seine-Maritime,M0718,Le Havre,musée de l'ancien Havre,1 rue Jérôme Bellarmato,,76600,235422790,www.lehavre.fr/que-faire-au-havre/hotel-dubocage-de-bleville,49.488805,0.114474,7635103,"49.488805,0.114474",2003-02-01
Normandie,Seine-Maritime,M0724,Lillebonne,musée municipal,7 rue Victor Hugo,Square Jean Rostand,76170,232840207,musee-juliobona.fr/,49.517842,0.535803,7638401,"49.517842,0.535803",2003-02-01
Normandie,Seine-Maritime,M5067,Rouen,musée national de l'éducation,185 rue Eau-de-Robec,Maison des Quatre Fils Aymon,76000,235076661,hwww.reseau-canope.fr/musee/,49.441397,1.101667,7654002,"49.441397,1.101667",2002-01-06
Normandie,Seine-Maritime,M0731,Rouen,musée Pierre Corneille,"4, rue de la Pie",,76000,235716392,museepierrecorneille.fr/fr,49.443051,1.086748,7654009,"49.443051,1.086748",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-de-Haute-Provence,M0859,Mane,musée de Salagon,Route nationale,Prieuré de Salagon,4300,492757050,www.musee-de-salagon.com/accueil.html,43.93798,5.76727,411101,"43.93798,5.76727",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-de-Haute-Provence,M0861,Quinson,musée départemental de préhistoire,Route de Montmeyan,,4500,492740959,www.museeprehistoire.com/accueil.html,43.709854,6.040734,415801,"43.709854,6.040734",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-de-Haute-Provence,M0864,Reillanne (Vachères),musée archéologique,Ecole publique,,4110,04 92 75 61 16 ( mairie),www.mairie-vacheres.fr/fr/musee,43.93598226424194,5.654370035822609,422701,"43.93598226424194,5.654370035822609",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-de-Haute-Provence,M0863,Sisteron,musée gallo-romain Sisteron,8 rue saunerie,,4200,492615840,www.sisteron.com/mes-loisirs/culture-patrimoine/equipements-culturels/musees-expositions,44.197595,5.944839,420901,"44.197595,5.944839",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M5028,Biot,musée national Fernand Léger,Chemin du Val-de-Pome,,6410,492915030,musees-nationaux-alpesmaritimes.fr/fleger/,43.620705,7.112317,601801,"43.620705,7.112317",2002-01-06
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M0870,Cagnes-sur-Mer,musée-château,"Place Grimaldi, Haut-de-Cagnes",Château,6800,492024730,www.cagnes-sur-mer.fr/culture/chateau-musee-grimaldi/,43.666892,7.145213,602701,"43.666892,7.145213",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M0876,Grasse,musée Fragonard,23 boulevard Fragonard,,6130,497055800,www.museesdegrasse.com/vmjhf/presentation,43.656739,6.921091,606901,"43.656739,6.921091",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M0877,Grasse,musée international de la parfumerie,2 boulevard du Jeu de Ballon,,6130,497055800,www.museesdegrasse.com/presentation-du-musee-0,43.658385,6.922,606903,"43.658385,6.922",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M1135,Le Cannet,musée Bonnard,16 boulevard Sadi Carnot,,6110,04 93 94 06 06 - 04 92 18 24 42 - 04 92 18 24 43,www.museebonnard.fr/,43.576273,7.019853,603001,"43.576273,7.019853",2006-12-13
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M0889,Nice,musée départemental des arts asiatiques,405 promenade des Anglais,,6200,492293700,maa.departement06.fr/musee-des-arts-asiatiques-13422.html,43.678077,7.215461,608816,"43.678077,7.215461",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M5027,Nice,musée national du sport,Boulevard des jardiniers - Stade Allianz Riviera,,6200,489224400,www.museedusport.fr/,43.703829,7.191059,608817,"43.703829,7.191059",2004-04-19
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M0891,Tende,musée des merveilles,Avenue du 16 septembre 1947,,6430,493043250,museedesmerveilles.departement06.fr/musee-des-merveilles-13336.html,44.088854,7.593216,616301,"44.088854,7.593216",2003-02-01
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M5047,Vallauris,musée national de Vallauris (la Guerre et la Paix de Picasso),Place de la Libération,Château-Musée de Vallauris,6220,493647183,musees-nationaux-alpesmaritimes.fr/picasso/,43.579971,7.052887,615502,"43.579971,7.052887",2002-01-06
Provence-Alpes-Côte-d'Azur,Alpes-Maritimes,M0893,Villefranche-sur-Mer,musée d'art et d'histoire,La Citadelle,La Citadelle,6230,493763327,villefranche-sur-mer.fr/musees/,43.701093,7.311425,615901,"43.701093,7.311425",2003-02-01
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M7064,Aix-en-Provence,muséum d'histoire naturelle,7 allée des robiniers,Parc Saint Mitre,13090,488718181,www.aixenprovence.fr/Museum-d-histoire-naturelle-1039,43.533792,5.423327,1300107,"43.533792,5.423327",2002-01-06
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M0904,Cassis,musée municipal d'arts et traditions populaires,rue Xavier d'Authier,ancien presbytère,13260,442183678,www.cassis.fr/culture-festivites/le-musee/,43.214464,5.540037,1302201,"43.214464,5.540037",2003-02-01
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M0908,Lambesc,musée folklorique du vieux Lambesc,2 rue du Jas,,13410,442570301,www.lambesc.fr/mes-sorties/loisirs-et-culture/musee-du-vieux-lambesc/,43.651927,5.261964,1305001,"43.651927,5.261964",2003-02-01
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M0919,Marseille,musée d'archéologie méditerranéenne,2 rue de La Charité,Centre de la Vieille Charité,13002,491145880,musees.marseille.fr/musee-darcheologie-mediterraneenne-mam,43.300172,5.367602,1305507,"43.300172,5.367602",2003-02-01
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M1094,Marseille,musée d'art contemporain - galeries contemporaines,69 avenue d'Haïfa,,13008,491250107,musees.marseille.fr/musee-dart-contemporain-mac,43.250815,5.389874,1320691,"43.250815,5.389874",2003-02-01
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M0913,Marseille,musée des beaux-arts,Musée des Beaux-Arts,Palais Longchamp,13233,491145930,musees.marseille.fr/musee-des-beaux-arts-mba,43.30471863787663,5.394041457684137,1320401,"43.30471863787663,5.394041457684137",2002-01-06
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M5002,Marseille,musée des civilisations de l'Europe et de la méditerranée,Esplanade J4 - 7 promenade Robert Laffont,,13213,484351300,www.mucem.org/,43.29690491040561,5.361071769324869,1320201,"43.29690491040561,5.361071769324869",2013-02-21
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M0918,Marseille,musée d'histoire de Marseille,"2, rue Henri Barbusse",,13001,491553600,musees.marseille.fr/musee-dhistoire-de-marseille-mhm,43.298168,5.374162,1305505,"43.298168,5.374162",2003-02-01
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M0917,Marseille,musée Grobet-Labadié,140 boulevard Lonchamp,,13001,491622182,musees.marseille.fr/musee-grobet-labadie-mgl-0,43.303412,5.392866,1320101,"43.303412,5.392866",2003-02-01
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M0924,Saint-Cannat,musée Suffren et du vieux Saint-Cannat,3 Avenue Pasteur,Espace Suffren,13760,442573603,www.saint-cannat.fr/tourisme-loisirs/culture/musee-suffren.html,43.621602,5.295178,1309101,"43.621602,5.295178",2003-02-01
Provence-Alpes-Côte-d'Azur,Bouches-du-Rhône,M0925,Saint-Chamas,musée du vieux Saint-Chamas,Saint-Chamas,Montée des Pénitents,13250,490508561,musee.paullafran.free.fr/,43.554245,5.072251,1309201,"43.554245,5.072251",2003-02-01
Provence-Alpes-Côte-d'Azur,Var,M0931,Bormes-les-Mimosas,"MHAB, musée d’histoire et d’art de Bormes",103 rue Carnot,,83230,494715660,www.bormeslesmimosas.com/sites/default/files/upload/Quoi Faire/Visites et Patrimoine/Arts et histoire/musee-arts-et-histoire.jpg,43.150793,6.340584,8301901,"43.150793,6.340584",2003-02-01
Provence-Alpes-Côte-d'Azur,Var,M9008,Fréjus,musée des troupes de marine,Avenue des Troupes de Marine,Quartier Colonel Le Coq,83608,494178688,www.defense.gouv.fr/terre/histoire-et-patrimoine/patrimoine/musees/musee-des-troupes-de-marine,43.47210158572287,6.721402172498896,8306102,"43.47210158572287,6.721402172498896",2006-08-29
Provence-Alpes-Côte-d'Azur,Var,M0937,Hyères,musée municipal,14 avenue Joseph Clotis,,83400,494007880,www.hyeres.fr/musee-des-cultures-et-du-paysage,43.119997,6.130519,8306901,"43.119997,6.130519",2003-02-01
Provence-Alpes-Côte-d'Azur,Var,M0938,La Garde,musée Jean Aicard,Avenue du 11 mai 1945,Villa «Les lauriers roses»,83000,494143378,toulon.fr/envie-bouger/article/musee-jean-aicard-paulin-bertrand,43.131242,5.931994,8306201,"43.131242,5.931994",2003-02-01
Provence-Alpes-Côte-d'Azur,Var,M7061,Toulon,muséum d'histoire naturelle,"737, chemin du Jonquet",Jardin du Las,83200,483954420,museum.var.fr/ws/home/app/collection/expo,43.143305,5.910861,8313701,"43.143305,5.910861",2003-02-01
Provence-Alpes-Côte-d'Azur,Vaucluse,M0946,Avignon,musée Calvet (et musée lapidaire),65 rue Joseph Vernet,,84000,490863384,www.musee-calvet.org/,43.946985,4.803388,8400704,"43.946985,4.803388",2002-01-06
Provence-Alpes-Côte-d'Azur,Vaucluse,M0951,Carpentras,musée Sobirats,112 rue du Collège,Hôtel,84200,490630492,inguimbertine.carpentras.fr/,44.054477,5.046269,8403105,"44.054477,5.046269",2003-02-01
Provence-Alpes-Côte-d'Azur,Vaucluse,M0954,Cavaillon,synagogue musée juif comtadin,Rue Hébraïque,Synagogue,84300,490712106,www.cavaillon.fr/le-musee-juif-contadin.html,43.836842,5.038553,8403501,"43.836842,5.038553",2003-02-01
Provence-Alpes-Côte-d'Azur,Vaucluse,M0957,Lourmarin,musée Philippe de Girard,S'adresser à la mairie,,84160,,,43.76316809302446,5.3636267092803775,8406801,"43.76316809302446,5.3636267092803775",2003-02-01
Normandie,Calvados,M0655,Bayeux,Tapisserie de Bayeux - MAHB musée d'art et d'histoire Baron Gérard,"Centre Guillaume le Conquérant, 13bis rue de Nesmond, 14400 Bayeux (Tapisserie de Bayeux) / 37, rue du Bienvenu (MAHB)",Ancien séminaire (Tapisserie de Bayeux) / Ancien palais épiscopal (MAHB),14402,231512550,www.bayeuxmuseum.com/,49.27615187407017,-0.7030630310500277,1404701,"49.27615187407017,-0.7030630310500277",2003-02-01
Normandie,Calvados,M0656,Beaumont-en-Auge,musée Langlois,A la mairie,,14950,231648541,,49.263268,0.107383,1405501,"49.263268,0.107383",2003-02-01
Normandie,Eure,M0705,Les Andelys,musée Nicolas Poussin,Rue Sainte-Clotilde,Maison,27700,232543178,www.ville-andelys.fr/musee-nicolas-poussin-2/,49.245827,1.420009,2701601,"49.245827,1.420009",2003-02-01
Normandie,Manche,M0673,Avranches,musée municipal de l'Avranchin,place Jean de Saint-Avit,,50300,231608329,www.avranches.fr/musee-darts-et-dhistoire__trashed/,48.687696,-1.363384,5002501,"48.687696,-1.363384",2003-02-01
Normandie,Manche,M0685,Saint-Lô,musée des beaux-arts,Place du Champ de Mars,La Source,50000,233725255,www.saint-lo.fr/decouvrir-bouger/culture/musee-d-art-et-d-histoire,49.116174,-1.087574,5050201,"49.116174,-1.087574",2003-02-01
Normandie,Seine-Maritime,M0710,Caudebec-en-Caux,maison des templiers,Rue Thomas-Bazin,,76490,235969591,www.rives-en-seine.fr/pcu/maison-des-templiers/,49.525351,0.725967,7616402,"49.525351,0.725967",2003-02-01
Normandie,Seine-Maritime,M0713,Dieppedalle-Croisset,pavillon Flaubert,18 quai Gustave Flaubert,,76380,276088076,musees-rouen-normandie.fr/fr,49.435017,1.031203,7615701,"49.435017,1.031203",2003-02-01
Normandie,Seine-Maritime,M0714,Eu,musée Louis Philippe,Place d'Orléans,Château d'Eu,76260,227282076,www.chateau-eu.fr/,50.049138,1.418369,7625501,"50.049138,1.418369",2003-02-01
